CCR,response,actual,Prediction
"This is half comment, half question.

It seems odd to recreate the SyslogParserBuilder every `parse`. I dug in a bit, and I expected (personally expected, not ""Metron itself expects x condition"") this process to be somewhat similar to the enrichment where the bolt implements the `reloadCallback` method (e.g. [UnifiedEnrichmentBolt](https://github.com/apache/metron/blob/1d95b8316a18097747be116a0276c56b894fb79c/metron-platform/metron-enrichment/src/main/java/org/apache/metron/enrichment/bolt/UnifiedEnrichmentBolt.java#L229)) which would then delegate updating the config of the underlying pieces.

E.g. here I would expect the `SyslogParser` to be created a priori and then when the parser config gets updated `reloadCallback` would be called and this would be updated (and in this case recreated).

Looking into it a bit further, it looks like ParserBolt has the appropriate method passed down to it, but chooses not to implement it.  I suspect it's because ~nothing~ none of the underlying parsers don't update configs, although I didn't check all of them.

Would it be reasonable to get that setup in the ParserBolt and then handle the `SyslogParser` object that way, rather than recreating it every time?",You ok with that as part of this pr?,1,1
"Since we're mapping over `forms`, would this make more sense to be called `renderForm`?",sure sure,0,1
nit: can we use `const` or `let` here?,Yup!,0,1
we don’t raise like this instead convert to object by not here this is way too specific,"Jeff, to be clear, you have all rights to be comment on the code, since I put up a PR. I was just a bit annoyed by your first response at first because I found it hard to interpret (sometimes full sentences can make that easier .. :)) and ignoring my questions. ",1,1
"I don't think this casting is safe enough - it converts the results into primitive which not only causes autoboxing for objects, but fails in case of nulls.","Good point. The casting was passing since the aggs produce the `NaN` value, which converts to `0`.",0,1
"Please move all geotools dependency to the parent pom. See here: https://github.com/apache/incubator-sedona/blob/master/pom.xml#L120

Make sure you use the geotools scope variable for the scope",Fixed,0,0
"Given that this code executes several times during the lifecycle of the processor, consider static initializer.",This is done in the init() method so that it is done only once per Processor. It cannot be done statically because the relationships change depending on processor configuration (user-defined properties add new relationships).,1,1
"Following two lines are missing.

```python
    max_norm = grad_clip_val
    norm_type = float(2.0)
```",I think max_norm variable doesn't have to be reassigned. `grad_clip_val` and `norm_type` can be directly given as an argument,0,1
"you mean ""java serializable"" correct? ",Done,1,1
"How about calling it ""GoInstanceConfig""? ","cool, will fix it .",0,1
Why are you pulling in the `log4j` API?,"This being said, what would you rather see? This issue is titled _Jena master does not build under JDK10_ so I wonder if getting Jena to build under JDK 10 is the immediate response. Someone can then go and work on the underlying logging issue. Right now I have not investigated it enough or else I would have provided the fix. ",1,1
Let's configure tests using `runServerless` util. See documentation on that: https://github.com/serverless/serverless/blob/master/tests/README.md#unit-tests,"At the moment the only alb test file using `runServerless` is its `index.test.js` file. Given the `runServerless` requirement, perhaps I should be writing tests to `index.test.js` rather than these apparently legacy, lower level tests files?",1,0
Does this date look familiar to anyone?,Does this date look familiar to anyone?,1,1
"doesn't it return EOF marker?
````
opNotEOF = reader.next(key, value);
````

could be changed to
````
Deserializer currSerDe = metaDataPartTable.getDeserializer();
while (recordReader.next(key, value)) {
    String[] row = fetcher.convert(
        currSerDe.deserialize(value), currSerDe.getObjectInspector()
    ).toString().split(""\t"");
    
    parts.add(HiveTableUtil.getParseData(row[PART_IDX], row[SPEC_IDX]));
}
````","Nope, it doesn't return the EoF marker. ",1,1
"Add example usage as in RunnableOnService.java
","done
",0,0
Seems like this filed is never used.,done,1,1
I think this should be renamed to `moving_selection` similar to the boolean from animation_bezier_editor/track editor.,Updated,0,1
去掉 `[default = 0]`， 否则，c++代码中 `config.has_output_y()` 永远都不会生效，下同。,done,0,0
"Add the license, please.",done,0,0
Remove comment,done,0,0
"Do we now support `where time between 1 and 10` syntax? If so, here we should return the corresponding time filter.","Yes, we support. Is corresponding time filter used to filter quickly? We can get the same result even if treat it as value filter. ",1,1
"From a style perspective, you can import `when` via a static import to make it more readable. Similarly for `eq` and so on.","In the case of mockito only,I also think the static import is better. Already changed.",0,0
Change the name to testGestLastMessageId?,Fixed.,1,1
Please add the new parameter and its description.,"I don't think I added any new parameters to `HashedPartitionsSpec`, were you referring to something else?",1,0
"How about making the definition of ""higher priority"" clearer in the comment or the document? Like is the priority higher while the value of brokerElectionPriority is larger or smaller?",Sure,0,1
"I don't have a directive for `nanoOfSecond`, yet. Would you rather want to have it in the first release?","@rgoers, any ideas?",1,1
"That's incorrect, you forgot to call the new method..... (you should probably edit SceneStringNames too, IDK)","Call the new method, what do you mean? And why? All other virtual methods don't use SceneStringName as well",1,1
"Using this approach means that any NiFi that is run securely will not be able to make use of this Atlas integration. I think the more correct solution is to update the Provenance Repository so that we can run a query without supplying a user. In the mean time, we could perhaps get away with allowing the user to configure the username to run the queries as? Then they can simply create an ""Atlas Integration"" user or choose their own user, etc.","Actually this user can be anything. Since NiFI authentication and authorization is done at the web request layer, when the provenance API is called directly, no authentication nor authorization take place. I confirmed that provenance query work in secured NiFi environment. Is that approach fine?",1,1
"Again, should we create a new cache everytime?",I think we should given each cache is associated with a distinct table. I don't see why we want to reuse caches among different tables (w/ might share the same key but diff values).,1,1
"Please use one method of qualifying the class here, either `ExprMacroTable.ExprMacro` or just `ExprMacro` (unless they are referring to two different classes).","@kfaraz I agree on one method of qualifying the class. But since the `ExprMacro` is an interface without any default methods, do we want to create spy for this interface? I think it's better to mock interfaces and spy real classes IMO.",1,0
"Is this still ""TODO"" or is the tab char the delim?",Nope. I did it and forgot to remove the comment. Done.,1,1
"can you change this to ``to_datetime`` which is the user visibile function
when using ``cache=True`` (the default)","@jreback Tests moved, whatsnew reworded. All tests have passed.",0,0
instead of using ``allow`` I would just adjust the quantiles right here,Any update?,1,1
I'm not sure if this is a good approach. If there are new data sources or task types in the future that need to share the same implementation.,Yup. It's not  a good way to do it. Can we extract part of code into getConnection method ?,1,1
What happens to the uploaded jars in case of a failure? We should try to delete them if they won't be cleaned up automatically.,"yes, this isn't a new problem.",0,1
