project,pull,author,reviewer,CCR,Prediction,Merge
accumulo,256,dlmarion,keith-turner,"There are two significant changes that I am wondering what the motivations for was.  First, this factory seems to cahce cahces and now be responsible for starting and stopping them.  Earlier you had the start and stop method on the cache itself.  Why make the BlockCacheFactory stateful?

Second, BlockCacheConfiguration used to be a helper class that someone implementing a BlockCacheFactory could optionally use.  Why tightly couple these?",1,False
flink,8034,yanghua,fhueske,can be removed,0,False
flink,10436,Li-Aihua,hequn8128,Parse file which contains several scenarios. Its content looks like the following examples.,0,False
dubbo,7045,panxiaojun233,guohao,这里应该需要 setForce(true),0,False
druid,11912,techdocsmith,sthetland,"```suggestion
This topic contains configuration reference information for the Apache Kafka supervisor for Apache Druid. The following table outlines the high-level configuration options:
```",0,True
shardingsphere,10478,avalon5666,tristaZero,final,0,True
flink,15411,est08zw,xintongsong,"nit:
1. `Boolean` type is not used in this case. `CompletableFuture<Void>` should be good enough.
2. A `CompletableFuture` by nature carries the information whether the task has finished. It would be better the variable name reflects which task it represents.
3. It would be nice to always use `final` for variables that is not intended to be changed.
```suggestion
        final CompletableFuture<Void> asyncExecutionFuture = new CompletableFuture<>();
```",0,False
kafka,4430,panuwat-sc,mjsax,Nit: add empty line,0,True
iotdb,7621,choubenson,THUMarkLau,Same as above.,0,True
iotdb,1828,SteveYurongSu,qiaojialin,same,0,True
nifi,5326,r65535,exceptionfactory,Is this call to the Provenance Reporter necessary?,1,False
beam,3662,reuvenlax,jkff,Why is it concurrent? The DoFn isn't used concurrently.,1,False
geode,3765,mkevo,nonbinaryprogrammer,"It looks like you have accidentally changed the behavior of this code. Currently you are not putting the results of that getAll operation to the empty map, so the assert in the finally block will always be true. Either put the results of the getAll into the array, or remove the initialization and assertion. If you remove it, please write a test to verify that the behavior is unchanged.",0,False
incubator-hugegraph,819,Linary,javeme,compare the two ids,0,True
nifi,6355,tpalfy,turcsanyip,"```suggestion
        Under 'Add and Manage Public Keys', generate a Public/Private Keypair and download the configuration JSON file (under App Settings). The full path of this file should be set in the 'Box Config File' property.
```",0,False
solr,23,NazerkeBS,dsmiley,don't change,1,True
samza,397,lindong28,prateekm,"s/Then../Now, you are ready to run your Samza application on Yarn as described here[link to hello samza]/

""Check the log file for messages read from your Kinesis stream. """,0,False
druid,14642,jasonk000,github-advanced-security[bot],"## User-controlled data in arithmetic expression

This arithmetic expression depends on a [user-provided value](1), potentially causing an overflow.

[Show more details](https://github.com/apache/druid/security/code-scanning/5309)",0,True
flink,16606,curcur,rkhachatryan,I think logging of successful materialization would be helpful here (`DEBUG` level?).,1,True
incubator-hugegraph,328,Linary,javeme,"prefer to add fetch() method and move these code into it:
```
if (!queries.empty()) {
  return queries.fetch();
}
```",0,True
pulsar,11933,liangyepianzhou,congbobo184,"Do not change the format, the following are all. You should probably double check when submitting",1,True
flink,21641,lincoln-lil,godfreyhe,FLINK-30841  is accepted,0,True
flink,10700,leonardBang,JingsongLi,Add comment to show what are you test.,1,True
flink,12748,liyubin117,libenchao,"```suggestion
_数据类型提示_ 可以参数化或替换函数参数和返回值、结构化类或结构化类字段的默认提取逻辑，实现者可以通过声明 `@DataTypeHint` 注解来选择默认提取逻辑应修改的程度。
```",0,False
flink,18692,XComp,zentol,"Looking at the S3 FileSystem implementation I'm not sure if this is generally correct. Directories _technically_ don't exist; when you do a mkdirs it creates an object that pretends to be a directory (in the plain hadoop s3 filesystem).
",1,True
zeppelin,1334,mfelgamal,bzz,"As soon as Zeppelin does not auto-generate imports (as IDEs do) - I think we better add all imports here in order to provide a user with the full example he can start with.

If user just runs it, the output would not really help to put the correct imports

```
line 4 : cannot find symbol
  symbol:   class List
  location: class C1dc12259905d45a693c2fb0ced376883
line 4 : cannot find symbol
  symbol:   class List
  location: class C1dc12259905d45a693c2fb0ced376883
line 4 : cannot find symbol
  symbol:   class ArrayList
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   class Options
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   class Options
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   variable PipelineOptionsFactory
  location: class C1dc12259905d45a693c2fb0ced376883
line 7 : cannot find symbol
  symbol:   class FlinkPipelineRunner
  location: class C1dc12259905d45a693c2fb0ced376883
line 8 : cannot find symbol
  symbol:   class Pipeline
  location: class C1dc12259905d45a693c2fb0ced376883
line 8 : cannot find symbol
  symbol:   variable Pipeline
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   class DoFn
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   class KV
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   variable ParDo
  location: class C1dc12259905d45a693c2fb0ced376883
line 20 : cannot find symbol
  symbol:   variable Count
  location: class C1dc12259905d45a693c2fb0ced376883
line 10 : cannot find symbol
  symbol:   class DoFn
  location: class C1dc12259905d45a693c2fb0ced376883
line 10 : cannot find symbol
  symbol:   variable ParDo
  location: class C1dc12259905d45a693c2fb0ced376883
line 9 : package TextIO does not exist
```

What do you think?
",0,False
drill,2359,cgivre,paul-rogers,"Explain a bit more. I have two tables with titles ""a | b"", and ""c | d | e"". Do I get a union row with ""a, b, c, d, e"" as fields? Or, just ""a, b"" as fields? When I read the second table, do I then get ""a, b, e""?",1,True
gobblin,3569,phet,ZihanLi58,"Sorry if I was misleading earlier, I thought about it some more and I think we need to be cautious here. We want to actually do the reverse of what you have. So we have the function catch (FileNotFoundException) here silently, which is the old behavior. We want to actually have this function return the empty list `filesAtPath` since otherwise it would cause all pipelines with one missing target folder to perform a full copy instead of an incremental copy.

This means that there will be a tradeoff, the sourceFS will still fail silently if the folder is missing on the source. ",1,True
shardingsphere,12280,tuichenchuxin,strongduanmu,@tuichenchuxin Can we add a `CommentAssert` to handle this logic? And move `if (!expected.getComments().isEmpty())` into the `assertComment` method.,1,True
hudi,7605,jonvex,nsivabalan,not sure if we can do this. we can just delete the inflight and make progress. we don't want to requested to be overwritten just incase.,1,True
kafka,2716,wimvanleuven,guozhangwang,"This is not introduced in this PR but I found the following comment can be improved as well. Maybe we can piggyback the fix in this PR as well ?

Basically, with the added lines in `send`, the `topicName` passed here should never be a changelog topic, otherwise there will be no source processor associated with it. So instead of the check on line 116, we should just check the returned `currNode` from line 112, and if it is null, skip the rest of the function directly.",1,False
guacamole-client,413,dg-hasimoto,necouchman,"Same as other places - if these are accurate Japanese translations they should be kept, but if they are not being translated they should be removed.",1,True
datasketches-java,470,AlexanderSaydakov,github-advanced-security[bot],"## Missing catch of NumberFormatException

Potential uncaught 'java.lang.NumberFormatException'.

[Show more details](https://github.com/apache/datasketches-java/security/code-scanning/631)",0,True
logging-log4j2,206,nataliemeurer,carterkozak,Would it be better to check `AbstractLogger.getRecursionDepth() > 1`? The class name check is fragile,1,True
dubbo,11094,chickenlj,AlbumenJ,Should be `contains`?,1,True
zookeeper,1056,symat,eolivelli,"This is not final, why don't you add a setDigestEnabled method?
Make it 'volatile'

We won't lose much in performances",1,False
hive,4344,wecharyu,kasakrisz,Is it possible to make this rule stronger? I mean the keyword `DATE` is always followed by a quoted `DATE_VALUE` not just any string,1,True
beam,22175,danthev,johnjcasey,"Is this general firestore knowledge? if not, can we add some sort of documentation link here for the future?",1,True
shardingsphere,17652,misselvexu,terrymanu,"assertNotNull is unnecessary assertion in this case, it is better to remove it",1,True
skywalking,3173,aiyanbo,wu-sheng,Same issue here.,0,True
nifi,5732,MikeThomsen,exceptionfactory,"This should be changed to a short-circuit return instead of creating a new empty FlowFile.
```suggestion
            return;
```",0,False
hudi,1554,hddong,yanghua,`Files.createFile`,0,True
beam,8010,mwalenia,lgajowy,It's not running on Dataflow runner but on Direct. Please update the comment accordingly.,0,True
camel,1390,RasPelikan,astefanutti,Discrepancy with the naming convention,1,False
jmeter,545,vdaburon,pmouawad,* import  should be avoided,1,False
beam,15900,AnandInguva,tvalentyn,"We do not keep commented-out code - we can just remove this.
If we ever need this code again, we can look it up in revision history. ",0,True
flink,2580,tzulitai,rmetzger,"300, 150
",1,False
shardingsphere,5166,menghaoranss,kimmking,Sharding-JDBC/Sharding-Proxy,1,True
shardingsphere,4531,gongsiran,dongzl,"It's not a good idea for using `assertWatchUpdateChangedType ` method  at `assertWatchAddChangedType ` method, maybe we should rename these methods and make them more meaningful.

I suggest this method rename `assertWatchUpdateChangedTypeWithNotExistedKey`",1,True
hudi,9712,nsivabalan,pratyakshsharma,nit: user -> users,0,True
flink,8742,sunhaibotb,1u0,"I'd change this paragraph:
 * omit mentioning HA mode at all (I still see value of service resource even in HA mode);
 * the service resource is useful not only for TM -> JM communication. It's also needed to access web UI. In fact, there is a paragraph down below, that mentions `<NODE_IP>:30081` address to access it and that defined in the service resource.
",0,True
accumulo,2900,cshannon,ctubbsii,"I don't think it's necessary to change this shell command at all. The only differences should be in the API method's implementation, and maybe this command's description to emphasize it's an estimate. None of the printing of the output needs to be changed at all to achieve the desired goal of this PR, to get size info from the metadata.",1,True
cassandra,675,blerer,adelapena,"Nothing wrong with how the `!=` operator is used here but a comment about its intentionality and/or a `@SuppressWarnings(""ArrayEquality"")` annotation could be helpful for suspicious readers.",0,False
geode,3235,xmas92,kirklund,"Actually, one more change to make. Please extract the `new EntryEventFactoryImpl()` calls into a private final member field and then use that field to create entry events:
```
private final EntryEventFactory entryEventFactory = new EntryEventFactoryImpl();
```
Otherwise, we'll end up generating a lot of instances for garbage collection to deal with. AbstractRegionMap experiences a lot of traffic such as thousands of operations per second.",0,True
dubbo,6234,vipweihua,AlbumenJ,how about moving this sample to `dubbo-samples`,1,False
shardingsphere,14767,ReyYang,sandynz,"Return `java.lang.Double` later, and translate to `java.math.BigDecimal` on write into target. Refactor it later.",0,True
